way en name,# segs,way id,length,length in segmented (for check),obs f1,obs + interpol f1,AUC,Accidents
Cross-Harbour Tunnel Approach,14,244383770,413.9541129,413.9541129,39718,37195,0,0
Cross-Harbour Tunnel,8,33679999,1853.768404,1853.768404,157404,36243,0.05953726731,1
Lantau Link,8,234103478,457.9255959,457.9255959,35278,35206,0,0
Lion Rock Tunnel,3,44805543,1421.899726,1421.899726,88775,34565,0,0
Tseung Kwan O Tunnel Road,17,28109452,436.9277658,436.9277658,31516,34520,0,0
Eastern Harbour Crossing Approach,33,28868548,959.552235,959.552235,34165,33766,0,0
Victoria Park Road,4,254008304,160.5656238,160.5656238,33772,33633,0,0
Chatham Road North,4,37664018,79.04641244,79.04641244,35605,32631,0.5662749824,24
Eastern Harbour Crossing,37,157811795,2794.295803,2794.295803,34063,32584,0,0
Tsing Sha Highway,26,33614458,914.0716811,914.0716811,19675,32478,0,0
Island Eastern Corridor,29,253999311,945.9350784,945.9350784,32665,31899,0,0
Lantau Link,9,26321763,452.7165682,452.7165682,30420,30501,0,0
Tate's Cairn Tunnel,15,110114096,402.3801815,402.3801815,31414,30076,0.6323770492,4
North West Tsing Yi Interchange,21,304331851,718.9008967,718.9008967,74563,30033,0.4412887048,2
Kai Fuk Road,10,156581172,258.0400069,258.0400069,30426,30019,0,0
Yuen Shin Road,18,146471515,856.0091523,856.0091523,28328,29490,0,0
Tsuen Wan Road,17,111782090,690.2717424,690.2717424,21529,28902,0,0
Cheung Tsing Tunnel,11,23358342,1676.682139,1676.682139,58943,27108,0.848592306,1
Tseung Kwan O Tunnel Road,13,28109454,370.3056739,370.3056739,27161,26785,0,0
Shek Mun Interchange,15,150102537,480.1731294,480.1731294,21011,25040,0,0
Sha Lek Highway,12,45247507,414.0981242,414.0981242,25791,24138,0,0
Sha Tin Heights Tunnel,16,33614456,1006.290974,1006.290974,27732,23072,0,0
Kwun Tong Bypass,9,294923443,266.4575689,266.4575689,23257,22867,0,0
Lin Cheung Road,12,151705880,596.902026,596.902026,22536,22590,0,0
Shing Mun Tunnel Road,18,227648512,644.8813706,644.8813706,17786,21210,0,0
Waterloo Road,20,224982463,266.5510686,266.5510686,21627,21124,0.265138154,1
Tate's Cairn Tunnel,10,312042454,289.2506946,289.2506946,21103,20508,0,0
Sha Tin Heights Tunnel,15,33614422,1028.476682,1028.476682,19767,19960,0,0
Hong Kong–Shenzhen Western Corridor,33,161557701,5526.422509,5526.422509,3091,19760,0,0
Kai Cheung Road,13,113146511,194.2104308,194.2104308,20351,19218,0.5591085271,2
Hing Fat Street,10,46765758,192.7168017,192.7168017,21264,18971,0.5290131917,10
Tsing Sha Highway,21,37518343,682.0930395,682.0930395,15929,18713,0,0
Ma Wan Road,43,114439409,1364.646965,1364.646965,5065,18262,0,0
Tsuen Wan Road,8,151834908,322.8439516,322.8439516,17196,17731,0,0
Lion Rock Tunnel Road,13,157652782,239.3498084,239.3498084,17713,17682,0.03784825653,2
Nam Wan Tunnel,2,151705885,1308.027674,1308.027674,30330,17616,0,0
Western Harbour Crossing,10,30343323,2009.04467,2009.04467,48051,17384,0,0
Island Eastern Corridor,19,86463870,611.2420185,611.2420185,16529,17021,0,0
Shing Mun Tunnel,5,24715890,1591.108756,1591.108756,39193,17011,0,0
Shek Mun Interchange,12,150102533,360.962697,360.962697,17308,16989,0.9673934015,1
Sha Lek Highway,16,45247509,471.6041769,471.6041769,17229,16477,0,0
North West Tsing Yi Interchange,23,157812275,664.5086449,664.5086449,13666,15994,0,0
Island Eastern Corridor,32,25589682,959.7645112,959.7645112,16045,15893,0,0
Tai Po Road - Sha Tin,13,135619199,375.1221298,375.1221298,15401,15386,0,0
Tsing Sha Highway,36,304332559,1885.101138,1885.101138,6408,15288,0,0
Aberdeen Tunnel,16,23298496,1932.481282,1932.481282,63710,15072,0.9264023619,1
Ma Wan Road,43,40484485,1103.907682,1103.907682,4968,14777,0,0
Shing Mun Tunnel,8,157987122,961.4507715,961.4507715,24859,14693,0,0
Lion Rock Tunnel Road,12,224984819,189.2035839,189.2035839,15119,14531,0,0
Tai Po Road - Sha Tin,11,33277246,353.0705888,353.0705888,14498,14189,0,0
Aberdeen Tunnel,24,155997128,1962.009083,1962.009083,41923,14045,0,0
Cross-Harbour Tunnel,8,45740459,1859.83325,1859.83325,36721,13847,0,0
Western Harbour Crossing,10,26305725,1990.835775,1990.835775,36650,13525,0,0
Tsing Sha Highway,7,33614451,210.9787155,210.9787155,19898,13231,0,0
Tai Wai Tunnel,8,33614471,493.9154204,493.9154204,13102,12910,0,0
Island Eastern Corridor,18,26989139,621.6532508,621.6532508,12587,12519,0,0
West Kowloon Highway,72,282222738,4900.522325,4900.522325,12543,12462,0,0
Shing Mun Tunnel,6,157655664,1610.578893,1610.578893,29722,12278,0,0
Cheung Tsing Tunnel,12,24561555,1658.706819,1658.706819,23900,12201,0,0
Shing Mun Tunnel Road,16,227332231,313.5409103,313.5409103,12451,12055,0,0
Nam Wan Tunnel,2,151705884,1300.021856,1300.021856,18368,11711,0,0
Lin Cheung Road,3,26408937,222.9161823,222.9161823,11652,11628,0,0
Sha Lek Highway,9,116287477,294.4285175,294.4285175,11522,11296,0,0
Shek Mun Interchange,8,254661004,224.8964788,224.8964788,11850,11174,0.3797321922,13
Shing Mun Tunnel,8,157936781,936.2179218,936.2179218,16390,11112,0,0
North West Tsing Yi Interchange,19,304331850,682.7453271,682.7453271,10845,10871,0,0
North West Tsing Yi Interchange,22,114437430,895.1187495,895.1187495,9621,10597,0,0
Tsing Sha Highway,32,111967756,1911.712443,1911.712443,4148,10590,0,0
Tuen Mun Road,10,158972988,458.7159346,458.7159346,10619,10487,0,0
Shek Mun Interchange,16,136012409,328.8845538,328.8845538,10352,10434,0,0
North West Tsing Yi Interchange,12,114437471,333.8282376,333.8282376,10549,10215,0,0
Lion Rock Tunnel,4,157652772,1431.795958,1431.795958,26869,10099,0,0
Yuen Long Highway,29,47071902,1130.009556,1130.009556,3799,10002,0,0
Hing Fat Street,3,46765757,80.23304979,80.23304979,14415,9981,0,0
Eagle's Nest Tunnel,23,33614425,2145.46766,2145.46766,21567,9670,0,0
Tseung Kwan O Tunnel Road,5,28109364,346.9622551,346.9622551,9513,9665,0,0
Cheung Pei Shan Road,5,157984279,261.162055,261.162055,9700,9656,0.1658630665,4
Wo Yi Hop Interchange,7,157984287,254.6984709,254.6984709,9538,9441,0,0
Tsing Long Highway,8,293863607,794.1190344,794.1190344,8768,9331,0,0
Eagle's Nest Tunnel,23,33614414,2124.238014,2124.238014,20058,8675,0.4684091764,1
Tung Hei Road,6,85392446,262.9042364,262.9042364,8425,8405,0,0
Po Hong Road,13,28109347,221.5459147,221.5459147,8180,8137,0.5698632891,2
Kai Cheung Road,6,39550544,113.1763927,113.1763927,7970,7950,0,0
Tsuen Wan Road,9,111978719,387.8879619,387.8879619,7931,7938,0,0
Tsing Sha Highway,5,310515387,230.9395489,230.9395489,7848,7826,0,0
Sha Tin Road,13,135716453,348.6101532,348.6101532,7343,7268,0,0
Island Eastern Corridor,18,86463838,777.1192441,777.1192441,7275,7212,0,0
Tai Po Tai Wo Road,29,49181847,1077.25715,1077.25715,2729,7003,0,0
Island Eastern Corridor,39,296714153,1541.984748,1541.984748,7056,6984,0,0
Tuen Mun Road,6,209559419,249.0984618,249.0984618,6776,6749,0,0
Tsing Sha Highway,6,299581590,76.86764165,76.86764165,6979,6651,0,0
Tai Po Tai Wo Road,32,217397615,860.2359963,860.2359963,3110,6641,0,0
Penny's Bay Highway,22,31857435,932.7380712,932.7380712,3991,6619,0,0
Cheung Pei Shan Road,2,209559420,216.5673715,216.5673715,6593,6432,0.6685546875,5
Tsing Sha Highway,5,303635148,118.9659644,118.9659644,6284,6214,0,0
Shek Mun Interchange,17,150102535,320.0952063,320.0952063,5911,5873,0.509156586,3
Island Eastern Corridor,10,288198081,424.5973213,424.5973213,6396,5791,0,0
Sha Tin Road,12,255891616,333.7782016,333.7782016,5701,5579,0,0
Tai Wai Tunnel,8,33614450,491.822174,491.822174,5626,5516,0,0
North West Tsing Yi Interchange,16,111905259,374.1438216,374.1438216,5421,5410,0,0
Island Eastern Corridor,8,152494932,237.3928367,237.3928367,5507,5248,0,0
Eastern Harbour Crossing,20,28868193,580.2098268,580.2098268,5140,5137,0,0
Tai Po Tai Wo Road,26,49181862,764.6603714,764.6603714,3151,4532,0.7515267176,1
Yuen Long Highway,14,47072180,513.3207956,513.3207956,4457,4460,0,0
North West Tsing Yi Interchange,32,157812274,640.2248163,640.2248163,3203,4081,0,0
Island Eastern Corridor,37,296714152,527.2243304,527.2243304,4189,3935,0.9503216583,1
Sha Tin Road,9,45247009,211.4843496,211.4843496,3942,3887,0,0
Sha Tin Road,7,45246870,241.3176597,241.3176597,4179,3843,0,0
Eastern Harbour Crossing,39,310075913,2762.54219,2762.54219,10563,3729,0,0
