f1,f2,f3,f4
0.4455115632,0.5313995659,0.6180181518,0.6209919813
0.661972233,0.6160696837,0.6845165941,0.1301665638
0.5974969757,#N/A,0.8597830697,0.621453523
0.6514258903,#N/A,#N/A,#N/A
0.6674514196,0.4603416867,0.6687810367,0.5852566797
0.5196801854,0.6833566317,#N/A,0.5249651955
0.5310604217,0.5176182287,0.5977341688,0.5807652255
0.455891926,0.7763487869,0.5465887965,0.3125398067
0.3135719088,#N/A,0.9469974879,0.5032020416
0.7511275913,#N/A,0.4607929732,#N/A
0.4342207251,#N/A,0.3496060262,0.7653303195
0.6659071503,0.2570925798,#N/A,0.6399887049
0.4390593358,0.5952058804,0.6540830297,#N/A
0.4422312463,0.4542722582,0.5829183723,0.6143529153
0.6793931868,0.5392387641,0.6097858372,0.7021365047
0.3082306714,0.4722332299,0.5927246136,0.7608306304
0.9579661402,#N/A,0.3437676683,0.7936395411
0.6969228818,#N/A,#N/A,0.5036311118
0.5750384674,0.5796735756,0.5348465621,0.6745377411
0.5218960326,0.7000323215,0.5292805002,0.6161955995
0.5475084459,#N/A,0.4218603546,#N/A
0.3120192829,#N/A,0.6620241249,0.4234510475
0.679295847,0.6594504427,0.5943366544,0.6616221719
0.6744897959,#N/A,#N/A,#N/A
0.8737904571,#N/A,#N/A,#N/A
0.2977763244,0.5287283613,0.4604448679,0.3098434535
0.4412887048,0.3365069177,#N/A,#N/A
0.6977119687,0.8502265279,0.5247039081,0.6693492165
0.5480850076,0.5059882205,0.6080120275,0.4853564331
0.9451363222,#N/A,0.7355348599,#N/A
0.6353822218,0.5545112901,0.6369363818,0.5462382323
0.7073836111,0.6283150163,0.7520829053,0.2471529457
0.5182573826,0.634517013,#N/A,0.5707649092
0.7015518851,#N/A,#N/A,#N/A
0.7856126042,0.672248938,0.7265357232,0.3741259905
0.678907669,#N/A,0.872229617,#N/A
0.7293174935,#N/A,0.5506824954,#N/A
0.7544827001,#N/A,0.7574326393,0.9748977002
0.5564062977,0.4639489973,0.405244196,0.5112335024
0.6323770492,0.6346122726,0.4923581244,0.5092256189
0.6616224075,0.4061035163,0.2550419819,0.6464592371
0.0487476786,0.7747525182,0.7265946502,#N/A
0.2979932493,0.3474543197,0.7844567341,0.5267009167
0.3416216523,0.5325861804,#N/A,0.6723514107
0.5761892361,0.6211190168,0.5162645758,0.5678195645
0.0616271577,0.4877060958,0.5578858722,0.7435712232
0.6382395879,0.5071823204,0.2975651023,0.434348952
0.4875462807,#N/A,0.8714973687,#N/A
0.4123186647,0.7474904068,0.6321562522,0.5150776454
0.6712356461,#N/A,0.3619142572,0.7821180556
0.8477775437,0.8632372689,#N/A,#N/A
0.4304465494,#N/A,#N/A,#N/A
0.5842125094,#N/A,#N/A,#N/A
0.7563063416,0.620445967,#N/A,0.2740491307
0.0974561231,0.5260307979,#N/A,#N/A
0.7414208389,0.6806447758,0.5024778979,0.8298030276
0.328411753,0.361343525,0.4015755001,0.3410038873
0.4736943766,0.03145917,#N/A,0.4233970034
0.6279521016,#N/A,0.3710236341,#N/A
0.5450937918,0.6373408912,0.7813595733,0.6881194366
0.4424593067,0.7300286053,0.7327904188,#N/A
0.5545234089,0.5542318723,0.8740925465,0.5231850852
0.3679814466,#N/A,#N/A,#N/A
0.2122199338,0.2564444444,0.2854525311,#N/A
0.653459766,#N/A,0.6722114671,0.6336395874
0.6678403252,#N/A,0.7970980909,0.358584586
0.8209078932,#N/A,0.8882668241,0.6905281471
0.6310184241,0.8445677704,0.7296745603,0.624339203
0.3912545133,0.6662233631,0.3243487187,0.7992114715
0.2446997169,0.558099224,0.5739583333,0.439915899
0.2990295156,0.386480529,0.6583570681,0.5160766863
0.3957642462,0.4927861086,0.8276435462,0.6371722469
0.5290131917,0.4955945931,0.6338847831,0.555115109
0.4343620178,#N/A,0.5736445783,0.4773588393
0.8899310167,0.5086847974,0.6817522117,0.4314503252
0.0595372673,0.4918036468,#N/A,#N/A
0.5379618165,0.706811718,0.5588220008,0.3835625718
0.2423540656,0.6099533345,0.3826345697,0.2782347654
0.7880490296,0.3046248127,0.429883019,0.5389801776
0.9503216583,#N/A,0.6781618225,0.8025
0.8187896451,#N/A,0.8093857395,#N/A
0.848592306,0.1840848003,0.3034379838,#N/A
0.3533420991,#N/A,0.3373455253,#N/A
0.2575678326,0.9513581052,0.6270242026,0.6177555635
0.7566247002,0.2796758636,0.3199537729,0.9111626903
0.8929932922,#N/A,#N/A,0.7040719887
0.2124632893,0.640988321,0.6222002113,0.6792777535
0.4869131455,0.3508075649,0.5588180404,0.266292735
0.8698681164,#N/A,0.4596714427,0.5165351723
0.2663588202,#N/A,0.6446576195,0.7668006532
0.2045675571,0.7925879862,#N/A,#N/A
0.7192504402,0.8101333333,#N/A,#N/A
0.3943406396,0.2043829947,0.5895976616,0.5391290145
0.5256655377,#N/A,#N/A,0.8700331072
0.1443750449,0.7330581082,0.6643145864,0.7175154548
0.2075151587,0.2136594563,0.0193948503,0.0924084062
0.2628289474,0.104977572,0.7837914692,0.3676327326
